Top customers by revenue:
       CustomerID  total_revenue  order_count
1690     14646.0      280206.02           74
4198     18102.0      259657.30           60
3726     17450.0      194550.79           46
3007     16446.0      168472.50            2
1880     14911.0      140450.72          199
55       12415.0      124914.53           21
1334     14156.0      117379.63           55
3769     17511.0       91062.38           31
2701     16029.0       81024.84           63
0        12346.0       77183.60            1
3175     16684.0       66653.56           28
1290     14096.0       65164.79           17
997      13694.0       65039.62           50
2177     15311.0       60767.90           91
562      13089.0       58825.83           97
4090     17949.0       58030.48           44
2518     15769.0       56252.72           26
1984     15061.0       54534.14           48
1435     14298.0       51527.30           44
1285     14088.0       50491.81           13
